No.,nameen,ROCKTYPEid,slope-deg,IDW-5d,ls-value,latitude,longitude,STN0045,STN0075,STN0254
"672759",Tree,"2",23.27332687,54.956983,"0",18.821175552756,98.8836847959127,5605.863429,15836.25978,8787.739948
"672760",Tree,"2",23.68390274,54.956983,"0",18.821175582346,98.883732251338,5610.850448,15838.66598,8787.829535
"672761",Tree,"2",18.9879818,54.930031,"0",18.8211304238279,98.8837815173962,5615.640523,15836.77969,8792.926598
"672762",Tree,"2",23.68390274,54.930031,"0",18.8211756130329,98.8837814863418,5616.024509,15841.16369,8787.925489
"672763",Tree,"2",18.9879818,54.903116,"0",18.8211304596743,98.8838390570842,5621.687766,15839.70116,8793.042554
"672764",Tree,"2",20.40628433,54.903116,"0",18.8211304892251,98.8838865124971,5626.675212,15842.11197,8793.141334
"672765",Tree,"2",23.68390274,54.903116,"0",18.8211756488795,98.8838390260452,5622.071339,15844.08437,8788.04151
"672766",Tree,"2",23.68390274,54.903116,"0",18.8211756784303,98.8838864814707,5627.058444,15846.49451,8788.140347
"672767",Tree,"2",20.40628433,54.876237,"0",18.8211305261465,98.8839458317633,5632.909555,15845.12719,8793.268809
"672768",Tree,"2",19.69992065,54.876237,"0",18.8211305556701,98.8839932871764,5637.897058,15847.54073,8793.373988
"672769",Tree,"2",23.68390274,54.876237,"0",18.8211757153519,98.8839458007528,5633.292363,15849.50889,8788.267894
"672770",Tree,"2",23.0354805,54.876237,"0",18.8211757448755,98.8839932561785,5638.279528,15851.92176,8788.373133
"672771",Tree,"2",19.69992065,54.849395,"0",18.8211305925576,98.8840526064429,5644.131474,15850.55935,8793.509462
"672772",Tree,"2",19.98092079,54.849395,"0",18.821130622054,98.8841000618561,5649.119035,15852.97561,8793.62104
"672773",Tree,"2",23.0354805,54.849395,"0",18.8211757817631,98.8840525754608,5644.513521,15854.93955,8788.508684
"672774",Tree,"2",22.31156349,54.849395,"0",18.8211758112596,98.8841000308868,5649.500745,15857.35514,8788.620326
"672775",Tree,"2",19.98092079,54.822589,"0",18.8211306589075,98.8841593811228,5655.353522,15855.99764,8793.764512
"672776",Tree,"2",22.31156349,54.822589,"0",18.8211758481132,98.8841593501694,5655.734811,15860.37633,8788.76388
"672777",Tree,"2",20.59450722,54.822589,"0",18.8211306883768,98.8842068365363,5660.341141,15858.41662,8793.882489
"672778",Tree,"2",20.24305534,54.822589,"0",18.8211758775825,98.8842068055955,5660.722094,15862.79465,8788.881924
"672779",Tree,"2",20.59450722,54.795819,"0",18.8211307189383,98.8842560715279,5665.515822,15860.92759,8794.007895
"672780",Tree,"2",20.24305534,54.795819,"0",18.8211759081441,98.8842560406002,5665.896427,15865.30493,8789.007401
"672781",Tree,"2",20.59450722,54.769087,"0",18.8211307546384,98.884313611217,5671.563375,15863.86374,8794.158333
"672782",Tree,"2",20.24305534,54.769087,"0",18.8211759438443,98.8843135803047,5671.943574,15868.24027,8789.157925
"672783",Tree,"2",14.06855583,54.769087,"0",18.8211307840684,98.8843610666307,5676.551075,15866.28665,8794.285551
"672784",Tree,"2",15.04016018,54.769087,"0",18.8211759732744,98.8843610357311,5676.930941,15870.66251,8789.285215
"672785",Tree,"2",14.06855583,54.742392,"0",18.8211308208389,98.884420385898,5682.785736,15869.31698,8794.448571
"672786",Tree,"2",6.14724827,54.742392,"0",18.8211308502417,98.884467841312,5687.773493,15871.7426,8794.582186
"672787",Tree,"2",15.04016018,54.742392,"0",18.821176010045,98.8844203550143,5683.165185,15873.69201,8789.448328
"672788",Tree,"2",11.79424858,54.742392,"0",18.8211760394479,98.8844678104409,5688.152609,15876.11696,8789.582019
"672789",Tree,"2",6.14724827,54.715734,"0",18.8211308869783,98.8845271605796,5694.008225,15874.77633,8794.753202
"672790",Tree,"2",7.64140511,54.715734,"0",18.8211309163539,98.8845746159937,5698.996038,15877.20466,8794.893213
"672791",Tree,"2",11.79424858,54.715734,"0",18.8211760761845,98.8845271297243,5694.386925,15879.14985,8789.753132
"672793",Tree,"2",7.64140511,54.689114,"0",18.8211309530565,98.8846339352615,5705.230839,15880.24177,8795.072224
"672794",Tree,"2",15.11946106,54.689114,"0",18.821130982405,98.8846813906758,5710.218708,15882.67281,8795.21863
"674592",Tree,"2",14.36605644,55.141237,"0",18.8210836811595,98.8831035302124,5543.991726,15797.98607,8797.001986
"674593",Tree,"2",16.08989334,55.141237,"0",18.8210837108973,98.8831509856109,5548.979116,15800.3787,8797.056638
"674594",Tree,"2",16.08989334,55.1141,"0",18.8210837480526,98.8832103048591,5555.213391,15803.37121,8797.128951
"674595",Tree,"2",16.45168495,55.1141,"0",18.8210837777633,98.8832577602579,5560.200841,15805.76658,8797.190002
"674596",Tree,"2",16.45168495,55.086998,"0",18.8210838085753,98.8833069952341,5565.375348,15808.25307,8797.256347
"674597",Tree,"2",16.45168495,55.059931,"0",18.8210838445681,98.8833645349053,5571.422698,15811.16064,8797.337762
"674598",Tree,"2",17.38270378,55.059931,"0",18.8210838742395,98.8834119903042,5576.410232,15813.55998,8797.408053
"674599",Tree,"2",17.38270378,55.0329,"0",18.8210839113118,98.8834713095531,5582.644686,15816.56086,8797.499917
"674600",Tree,"2",19.25354195,55.0329,"0",18.821083940956,98.8835187649523,5587.632279,15818.96294,8797.576606
"674601",Tree,"2",19.25354195,55.005903,"0",18.8210839779944,98.8835780842014,5593.866805,15821.96725,8797.676466
"674602",Tree,"2",18.7780323,55.005903,"0",18.8210840076114,98.8836255396008,5598.854456,15824.37206,8797.759553
"674603",Tree,"2",18.7780323,54.978942,"0",18.8210840446158,98.8836848588502,5605.089054,15827.37979,8797.867409
"674604",Tree,"2",18.9879818,54.978942,"0",18.8210840742057,98.8837323142498,5610.076762,15829.78734,8797.956893
"674605",Tree,"2",18.9879818,54.952017,"0",18.8210841048925,98.8837815492269,5615.251535,15832.28646,8798.052736
"674606",Tree,"2",18.9879818,54.925128,"0",18.8210841407388,98.8838390888992,5621.299197,15835.20876,8798.168625
"674607",Tree,"2",20.40628433,54.925128,"0",18.8210841702895,98.883886544299,5626.286987,15837.62026,8798.267347
"674608",Tree,"2",20.40628433,54.898274,"0",18.8210842072108,98.883945863549,5632.52176,15840.63633,8798.394748
"674609",Tree,"2",19.69992065,54.898274,"0",18.8210842367343,98.8839933189491,5637.509606,15843.05055,8798.499866
"674610",Tree,"2",19.69992065,54.871457,"0",18.8210842736217,98.8840526381993,5643.744449,15846.07003,8798.635261
"674611",Tree,"2",19.98092079,54.871457,"0",18.8210843031181,98.8841000935996,5648.732352,15848.48697,8798.746774
"674612",Tree,"2",19.98092079,54.844677,"0",18.8210843399715,98.8841594128501,5654.967266,15851.50986,8798.890162
"674613",Tree,"2",20.59450722,54.844677,"0",18.8210843694406,98.8842068682505,5659.955225,15853.92952,8799.00807
"674614",Tree,"2",20.59450722,54.817933,"0",18.8210844000021,98.8842561032286,5665.130258,15856.4412,8799.133404
"674615",Tree,"2",20.59450722,54.791225,"0",18.8210844357021,98.8843136429019,5671.178222,15859.37819,8799.283754
"674616",Tree,"2",14.06855583,54.791225,"0",18.821084465132,98.8843610983027,5676.166261,15861.80178,8799.410898
