No.,nameen,ROCKTYPEid,slope-deg,IDW-5d,ls-value,latitude,longitude,STN0203,STN0311,STN0421
"5159808",Tree,"1",30.17276382,237.56823,"0",18.8675759517525,99.3551680639859,324.2957723,7706.137574,9346.992765
"5159809",Tree,"1",30.97779274,237.56823,"0",18.8675758611612,99.3552155316318,328.3982204,7706.427516,9348.246731
"5159812",Tree,"1",30.39953423,237.54653,"0",18.8675756572863,99.3553223338341,337.717398,7707.091714,9351.077322
"5159813",Tree,"1",30.97779274,237.54653,"0",18.867575747905,99.3552748661888,333.5608064,7706.794493,9349.817715
"5159816",Tree,"1",29.65656471,237.52406,"0",18.8675754533502,99.355429136035,347.1512774,7707.772289,9353.920597
"5159817",Tree,"1",30.39953423,237.52406,"0",18.8675755439961,99.3553816683903,342.9448847,7707.46779,9352.655354
"5159820",Tree,"1",29.38070869,237.50081,"0",18.8675752493528,99.3555359382345,356.6907578,7708.469234,9356.776545
"5159821",Tree,"1",29.65656471,237.50081,"0",18.8675753400259,99.3554884705904,352.4384983,7708.15746,9355.505671
"5159823",Tree,"1",29.38070869,237.47679,"0",18.8675751552667,99.355585185915,361.1227824,7708.796117,9358.097721
"5159825",Tree,"1",25.17851639,237.45199,"0",18.8675749545817,99.3556902080759,370.6398909,7709.504826,9360.924153
"5159827",Tree,"1",29.38070869,237.45199,"0",18.8675750452941,99.3556427404327,366.3275893,7709.182546,9359.645154
"5162723",Grass,"1",29.77770615,237.69701,"0",18.8674752932214,99.3546356192112,272.937494,7714.348263,9322.193229
"5162726",Tree,"1",29.77770615,237.68001,"0",18.867475183543,99.3546931737008,277.6106734,7714.65577,9323.68155
"5162727",Tree,"1",29.98759079,237.68001,"0",18.8674750930732,99.3547406413207,281.5047891,7714.912962,9324.91182
"5162728",Tree,"1",28.26190567,237.66221,"0",18.8675201681719,99.354800070901,289.5117503,7710.244002,9331.300419
"5162729",Tree,"1",28.30319595,237.66221,"0",18.8675200776746,99.3548475385332,293.4397726,7710.508642,9332.535717
